,OPER_CAP,SUMMER_CAP,WINTER_CAP,PLAN_CAP,RETIRE_CAP,GEN_UNITS,PLAN_UNIT,RETIR_UNIT,PRIM_FUEL,SEC_FUEL,COAL_USED,NGAS_USED,OIL_USED,CAP_FACTOR,LINES
1881,2.0,2.0,2.0,0.0,0.0,1,0,0,SUN,NOT AVAILABLE,0,0,0,0.088184932,0
1882,118.0,98.2,98.2,0.0,0.0,2,0,0,NG,NOT AVAILABLE,0,439339,0,0.04897051,0
1883,2.5,2.5,2.5,0.0,0.0,1,0,0,SUN,NOT AVAILABLE,0,0,0,0.18543379,0
1884,5.7,5.5,5.2,0.0,0.0,3,0,0,WAT,NOT AVAILABLE,0,0,0,0.402511416,1
1885,4.8,6.6,6.6,0.0,0.0,3,0,0,WAT,NOT AVAILABLE,0,0,0,0.541389927,1
1886,150.0,150.0,150.0,0.0,0.0,1,0,0,SUN,NOT AVAILABLE,0,0,0,0.269791476,0
1887,2.3,2.3,2.3,0.0,0.0,1,0,0,SUN,NOT AVAILABLE,0,0,0,0.180514195,0
1888,5.0,5.0,5.0,0.0,0.0,1,0,0,SUN,NOT AVAILABLE,0,0,0,0.181757991,0
1889,2.0,2.0,2.0,0.0,0.0,1,0,0,SUN,NOT AVAILABLE,0,0,0,0.171004566,0
1890,5.0,5.0,5.0,0.0,0.0,1,0,0,NG,NOT AVAILABLE,0,1083805,0,0.443210274,0
1891,81.0,81.0,81.0,0.0,0.0,1,0,0,WND,NOT AVAILABLE,0,0,0,0.382630081,0
1892,3.9,3.9,3.9,0.0,0.0,1,0,0,SUN,NOT AVAILABLE,0,0,0,0.177818757,0
1893,4.8,4.0,4.8,0.0,0.0,8,0,0,WAT,NOT AVAILABLE,0,0,0,0.69543379,1
1894,0.0,0.0,0.0,0.0,635.0,0,0,5,BIT,DFO,0,0,0,0.0,0
1895,4.0,4.0,4.0,0.0,0.0,2,0,0,SUN,NOT AVAILABLE,0,0,0,2.85388e-05,0
1896,3.6,3.6,3.6,0.0,0.0,2,0,0,DFO,NOT AVAILABLE,0,0,88,0.001363521,0
1897,5.4,5.4,5.4,0.0,0.0,18,0,0,LFG,DFO,0,0,1553,0.33534162,0
1898,2.0,1.7,1.2,0.0,0.0,1,0,0,SUN,NOT AVAILABLE,0,0,0,0.160153102,0
1899,17.9,18.0,18.0,0.0,4.1,1,0,1,WDS,NOT AVAILABLE,0,0,0,0.763704972,1
1900,21.0,21.0,21.0,0.0,0.0,1,0,0,WND,NOT AVAILABLE,0,0,0,0.341954773,1
1901,76.2,76.2,76.2,0.0,0.0,1,0,0,WND,NOT AVAILABLE,0,0,0,0.362928307,0
1902,0.0,0.0,0.0,20.0,0.0,0,1,0,SUN,NOT AVAILABLE,0,0,0,0.0,0
1903,0.0,0.0,0.0,1.5,0.0,0,1,0,SUN,NOT AVAILABLE,0,0,0,0.0,0
1904,208.0,234.0,234.0,0.0,0.0,8,0,0,WAT,NOT AVAILABLE,0,0,0,0.429234477,1
1905,50.0,50.0,50.0,0.0,0.0,1,0,0,WND,NOT AVAILABLE,0,0,0,0.32606393,0
1906,2.5,3.0,2.5,0.0,0.0,1,0,0,SUN,NOT AVAILABLE,0,0,0,0.143759513,0
1907,1.8,1.8,1.8,0.0,0.0,1,0,0,SUN,NOT AVAILABLE,0,0,0,0.175481989,0
1908,174.8,170.0,170.0,0.0,0.0,6,0,0,SUN,NOT AVAILABLE,0,0,0,0.32551974,0
1909,0.0,0.0,0.0,1.0,0.0,0,1,0,SUN,NOT AVAILABLE,0,0,0,0.0,0
1910,5.4,5.4,5.1,0.0,0.0,2,0,0,NG,SUN,0,1000,0,0.020970742,0
1911,104.0,100.0,100.0,0.0,0.0,1,0,0,SUN,NOT AVAILABLE,0,0,0,0.248936073,0
1912,2.2,0.0,0.0,0.0,0.0,0,0,0,SUN,NOT AVAILABLE,0,0,0,0.0,0
1913,1.5,1.5,1.5,0.0,0.0,1,0,0,WND,NOT AVAILABLE,0,0,0,0.40456621,0
1914,1.7,0.6,0.9,0.0,0.0,1,0,0,WND,NOT AVAILABLE,0,0,0,1.022260274,0
1915,5.2,4.2,4.2,0.0,0.0,2,0,0,WAT,NOT AVAILABLE,0,0,0,0.575804523,0
