,temperature_2_m_above_gnd,relative_humidity_2_m_above_gnd,mean_sea_level_pressure_MSL,total_precipitation_sfc,snowfall_amount_sfc,total_cloud_cover_sfc,high_cloud_cover_high_cld_lay,medium_cloud_cover_mid_cld_lay,low_cloud_cover_low_cld_lay,shortwave_radiation_backwards_sfc,wind_speed_10_m_above_gnd,wind_direction_10_m_above_gnd,wind_speed_80_m_above_gnd,wind_direction_80_m_above_gnd,wind_speed_900_mb,wind_direction_900_mb,wind_gust_10_m_above_gnd,angle_of_incidence,zenith,azimuth
131,-2.16,94,1016.2,0.0,0.0,56.0,0,0,56,0.0,31.26,302.77,41.56,301.9,35.57,301.76,35.28,60.008276,82.715518,125.80142
132,-3.41,97,1016.9,0.0,0.0,3.0,0,0,3,3.56,23.34,296.57,33.65,296.02,28.02,295.91,28.44,46.218879,74.207441,137.24737
133,-0.57,75,1017.2,0.0,0.0,0.0,0,0,0,118.37,24.93,287.65,26.76,287.22,25.73,287.93,27.0,33.129206,67.498954,150.24586
134,1.54,62,1016.2,0.0,0.0,0.0,0,0,0,271.45,22.91,278.13,23.68,278.75,23.27,278.0,25.2,21.879876,63.12744,165.03328
135,2.77,57,1015.7,0.0,0.0,12.0,0,12,0,392.49,25.96,273.18,27.04,273.05,26.3,272.35,32.4,17.105247,61.711725,180.56453
136,1.86,69,1016.5,0.0,0.0,10.0,0,0,10,299.93,42.33,303.55,43.33,303.82,41.04,303.55,45.36,22.626764,63.360918,196.2109
137,2.72,63,1016.0,0.0,0.0,10.0,0,0,10,469.92,43.53,304.22,44.83,304.2,42.53,303.96,46.08,34.00882,67.875998,210.75038
138,2.62,68,1016.3,0.0,0.0,2.0,0,0,2,379.14,42.24,302.47,43.66,301.86,40.95,302.43,45.0,47.168844,74.718691,223.64017
139,2.5,73,1017.1,0.0,0.0,100.0,0,46,100,386.26,41.14,302.86,42.55,302.21,39.84,302.83,43.92,60.750413,83.160134,234.8219
140,-5.35,82,1028.9,0.0,0.0,0.0,0,0,0,0.0,15.94,276.48,26.49,301.1,17.02,276.07,18.72,59.962798,82.557387,125.6905
141,-4.92,84,1028.8,0.0,0.0,0.0,0,0,0,3.56,14.83,275.57,25.68,301.24,17.16,279.66,19.08,46.24653,74.090688,137.06821
142,-1.68,75,1028.2,0.0,0.0,0.0,0,0,0,119.26,14.0,287.97,19.8,297.03,15.38,286.31,17.64,33.114848,67.354523,150.08337
143,1.3,61,1026.6,0.0,0.0,0.3,1,0,0,272.34,18.2,294.54,18.51,296.57,19.01,294.62,21.24,21.884109,62.98702,164.74744
144,2.34,59,1025.8,0.0,0.0,0.3,1,0,0,398.72,20.77,297.9,20.95,298.77,20.14,298.86,22.32,16.915904,61.518011,180.47672
145,4.5,31,1024.7,0.0,0.0,0.0,0,0,0,478.82,7.79,303.69,7.9,300.07,7.1,300.47,11.88,22.434327,63.15475,196.17407
146,5.21,27,1023.4,0.0,0.0,0.0,0,0,0,504.63,7.63,289.29,7.42,284.04,6.29,283.24,12.6,33.855504,67.667245,210.75993
147,5.6,26,1022.8,0.0,0.0,61.0,8,61,0,477.93,8.05,280.3,7.57,272.73,6.85,273.01,13.32,47.045819,74.514472,223.68551
148,5.58,27,1022.2,0.0,0.0,100.0,0,100,0,394.27,9.01,267.71,9.11,260.91,8.4,260.13,14.4,60.652214,82.966378,234.89287
149,-0.93,89,1014.9,0.2,0.0,100.0,0,100,100,0.0,46.8,180.44,53.02,183.5,46.8,180.0,41.04,59.77182,82.296286,125.68362
150,-0.64,88,1014.1,0.2,0.0,100.0,0,100,100,2.67,46.44,180.0,52.6,182.35,45.72,180.0,51.12,46.270887,73.967285,136.88722
151,0.34,84,1014.5,0.2,0.0,100.0,0,44,100,68.53,48.24,180.0,51.84,180.8,47.16,179.56,37.44,33.127877,67.218269,149.88763
152,1.02,80,1013.8,0.1,0.0,100.0,0,0,100,187.79,48.24,180.0,50.77,180.81,47.16,180.0,42.12,21.787798,62.808486,164.61589
153,1.62,77,1012.5,0.1,0.0,100.0,0,0,100,295.48,46.81,181.32,48.99,182.11,46.45,181.33,41.04,16.729554,61.320051,180.38464
154,1.22,77,1012.7,0.0,0.0,100.0,0,0,100,205.59,45.01,172.65,47.47,173.47,45.01,172.65,40.32,22.239193,62.942805,196.14147
155,1.82,76,1012.5,0.0,0.0,60.0,0,0,60,382.7,42.34,174.14,44.46,174.89,42.34,174.14,39.24,33.702217,67.453595,210.77488
156,2.5,76,1012.0,0.0,0.0,100.0,0,0,100,373.8,40.06,175.88,41.84,176.55,40.06,175.88,38.88,46.924101,74.30625,223.73688
157,1.83,81,1010.4,0.0,0.0,100.0,0,0,100,201.14,37.65,173.96,40.16,174.34,38.05,173.48,35.28,60.555932,82.76925,234.97013
158,-3.59,94,1015.8,0.0,0.0,94.0,0,0,94,4.45,45.67,20.29,55.5,22.91,46.01,20.14,56.88,44.277769,72.675565,138.49077
159,-3.08,94,1017.7,0.0,0.07,100.0,0,0,100,121.04,42.18,15.34,47.93,17.48,41.84,15.47,55.8,33.074579,67.045387,149.75625
160,-2.18,92,1017.0,0.0,0.07,88.0,0,0,88,225.17,46.33,18.58,49.64,19.49,45.65,18.86,57.24,21.686838,62.62334,164.48521
161,-1.2,79,1016.2,0.0,0.0,10.0,0,0,10,308.83,48.55,23.14,52.53,24.28,48.36,23.7,58.32,16.52021,61.111442,180.3088
