,OPER_CAP,SUMMER_CAP,WINTER_CAP,PLAN_CAP,RETIRE_CAP,GEN_UNITS,PLAN_UNIT,RETIR_UNIT,PRIM_FUEL,SEC_FUEL,COAL_USED,NGAS_USED,OIL_USED,CAP_FACTOR,LINES,NET_GEN
1622,9.6,9.6,9.6,0.0,0.0,8,0,0,LFG,NOT AVAILABLE,0,0,0,0.86474981,0,72722.0
1623,4.8,4.8,4.8,0.0,0.0,5,0,0,LFG,NOT AVAILABLE,0,0,0,0.757848174,0,31866.0
1624,11.2,10.9,11.2,0.0,0.0,4,0,0,LFG,NOT AVAILABLE,0,0,0,0.511300323,0,48821.0
1625,9.2,9.0,9.8,0.0,0.0,6,0,0,LFG,NOT AVAILABLE,0,0,0,0.488825469,0,38539.0
1626,0.0,0.0,0.0,0.0,6.0,0,0,2,LFG,NOT AVAILABLE,0,0,0,0.0,0,0.0
1627,36.0,30.0,30.0,0.0,0.0,1,0,0,WC,NOT AVAILABLE,362831,0,1650,0.726061655,1,190809.003
1628,23.4,21.4,21.4,0.0,0.0,5,0,0,BLQ,WAT,63865,74458,2893,0.612197542,0,114765.0
1629,5.7,4.7,4.7,0.0,0.0,1,0,0,WDS,BIT,0,0,0,0.0,0,0.0
1630,11.0,8.1,11.6,0.0,2.7,4,0,2,NG,DFO,0,688352,0,0.373231298,0,26483.0
1631,5.7,1.3,0.7,0.0,0.0,1,0,0,OTH,NOT AVAILABLE,0,0,0,0.747346329,1,8510.78
1632,78.5,67.6,71.1,0.0,0.0,4,0,0,NG,OG,0,2807371,0,0.764980344,0,453003.0
1633,15.5,12.5,12.5,0.0,0.0,1,0,0,MSW,NG,0,24994,0,0.710237443,1,77771.0
1634,81.9,80.0,80.0,0.0,0.0,2,0,0,WH,OTH,0,0,0,0.489683219,0,343170.0
1635,2.9,2.9,2.9,0.0,0.6,5,0,1,WAT,BIT,0,0,0,0.737167375,0,18727.0
1636,94.5,76.6,78.0,0.0,2.0,7,0,1,WDS,BLQ,0,1509125,3874,0.695639576,1,466785.286
1637,6.5,5.0,5.0,0.0,0.0,1,0,0,MSW,NG,0,118408,0,1.018630137,0,44616.0
1638,17.0,14.4,14.4,0.0,0.0,1,0,0,MSW,NOT AVAILABLE,0,0,1109,0.923389143,1,116480.0
1639,3.0,3.0,3.0,0.0,0.0,2,0,0,WAT,NOT AVAILABLE,0,0,0,0.340258752,1,8942.0
1640,28.0,24.5,24.5,0.0,0.0,1,0,0,MSW,NOT AVAILABLE,0,0,0,0.899254492,1,192997.999
1641,67.8,54.0,56.0,0.0,0.0,1,0,0,MSW,NOT AVAILABLE,0,43589,0,0.614144692,1,290515.005
1642,124.0,98.0,98.0,0.0,0.0,2,0,0,MSW,NG,0,73228,0,0.839526836,1,720716.998
1643,16.8,15.6,15.8,0.0,0.0,1,0,0,MSW,NG,0,42588,0,0.081291711,1,11109.0
1644,46.0,42.8,43.2,0.0,0.0,1,0,0,MSW,NOT AVAILABLE,0,0,2000,0.928652949,0,348177.993
1645,39.5,30.0,30.0,0.0,0.0,1,0,0,MSW,NOT AVAILABLE,0,16455,0,0.853230594,1,224229.0
1646,29.0,29.0,29.0,0.0,0.0,2,0,0,MSW,NOT AVAILABLE,0,0,0,0.558313651,0,141834.0
1647,31.2,26.0,26.0,0.0,0.0,1,0,0,MSW,NOT AVAILABLE,0,7549,0,0.839813826,1,191275.997
